last_measure,pm10,pm10_level,co,co_level,no2,no2_level,pm25,pm25_level,
2018-04-02 00:00:00,37,unhealthy-low,241,good,8,good,32,unhealthy,
2018-01-25 00:00:00,13,good,323,good,8,good,11,moderate,
2018-10-23 00:00:00,5,good,87,good,0,good,4,good,
2018-01-31 00:00:00,11,good,314,good,11,good,10,moderate,
2018-02-16 00:00:00,39,unhealthy-low,146,good,5,good,36,unhealthy,
2018-06-21 00:00:00,15,moderate,215,good,2,good,14,moderate,
2019-06-10 00:00:00,0,good,418,good,0,good,0,good,
2018-11-14 00:00:00,17,moderate,614,good,0,good,15,unhealthy-low,
2018-11-10 00:00:00,23,moderate,953,good,16,good,19,unhealthy-low,
2018-07-02 00:00:00,11,good,263,good,0,good,10,moderate,
2018-09-19 00:00:00,13,good,96,good,0,good,11,moderate,
2018-04-26 00:00:00,26,moderate,107,good,8,good,23,unhealthy-low,
2019-06-10 00:00:00,0,good,413,good,0,good,0,good,
2019-06-10 00:00:00,5,good,616,good,0,good,2,good,
2018-02-14 00:00:00,26,moderate,279,good,16,good,22,unhealthy-low,
2018-06-21 00:00:00,31,unhealthy-low,286,good,0,good,29,unhealthy,
2018-01-15 00:00:00,17,moderate,12,good,6,good,14,moderate,
2018-11-10 00:00:00,2,good,4205,moderate,0,good,2,good,
2018-11-14 00:00:00,1,good,6453,unhealthy-low,0,good,1,good,
2018-04-26 00:00:00,25,moderate,177,good,16,good,21,unhealthy-low,
2019-06-10 00:00:00,3,good,233,good,15,good,3,good,
2018-10-27 00:00:00,11,good,508,good,12,good,9,good,
2018-10-27 00:00:00,8,good,137,good,0,good,7,good,
2018-10-22 00:00:00,9,good,144,good,0,good,9,good,
2018-10-22 00:00:00,7,good,145,good,0,good,7,good,
2019-06-10 00:00:00,1,good,603,good,0,good,1,good,
2018-02-27 00:00:00,3,good,178,good,0,good,2,good,
2019-06-13 00:00:00,7,good,2843,good,0,good,7,good,
2018-05-07 00:00:00,2,good,6084,unhealthy-low,0,good,2,good,
2018-01-30 00:00:00,29,moderate,210,good,8,good,26,unhealthy,
2019-06-10 00:00:00,6,good,251,good,0,good,6,good,
2019-06-10 00:00:00,1,good,400,good,0,good,1,good,
2018-04-26 00:00:00,20,moderate,24,good,0,good,18,unhealthy-low,
2018-12-16 00:00:00,38,unhealthy-low,886,good,0,good,33,unhealthy,
2018-04-26 00:00:00,26,moderate,51,good,8,good,21,unhealthy-low,
2019-06-13 00:00:00,3,good,4479,moderate,0,good,3,good,
2018-10-30 00:00:00,167,unhealthy-high,59,good,9,good,80,unhealthy-high,
2018-04-26 00:00:00,26,moderate,148,good,23,good,24,unhealthy-low,
2018-11-10 00:00:00,7,good,107,good,0,good,7,good,
2018-04-26 00:00:00,21,moderate,110,good,11,good,19,unhealthy-low,
2019-06-10 00:00:00,1,good,645,good,0,good,0,good,
2019-06-13 00:00:00,7,good,325,good,0,good,7,good,
2018-12-16 00:00:00,82,unhealthy-high,212,good,0,good,70,unhealthy-high,
2018-02-01 00:00:00,27,moderate,399,good,13,good,25,unhealthy,
2018-03-06 00:00:00,14,good,362,good,3,good,13,moderate,
2018-10-22 00:00:00,1,good,6496,unhealthy-low,0,good,1,good,
2019-06-13 00:00:00,13,good,483,good,0,good,12,moderate,
2019-06-13 00:00:00,26,moderate,824,good,0,good,25,unhealthy,
2018-01-22 00:00:00,39,unhealthy-low,123,good,4,good,35,unhealthy,
2019-06-10 00:00:00,4,good,331,good,3,good,3,good,
2018-04-26 00:00:00,17,moderate,57,good,8,good,16,unhealthy-low,
2019-06-10 00:00:00,0,good,588,good,0,good,0,good,
2019-06-10 00:00:00,1,good,622,good,0,good,1,good,
2019-06-10 00:00:00,51,unhealthy,5876,moderate,8,good,31,unhealthy,
2018-06-21 00:00:00,12,good,47,good,8,good,11,moderate,
2018-03-06 00:00:00,17,moderate,415,good,4,good,16,unhealthy-low,
2018-01-15 00:00:00,19,moderate,81,good,7,good,16,unhealthy-low,
2019-06-13 00:00:00,7,good,604,good,0,good,7,good,
2018-01-30 00:00:00,23,moderate,240,good,15,good,22,unhealthy-low,
2018-01-30 00:00:00,23,moderate,221,good,1,good,20,unhealthy-low,
2018-10-22 00:00:00,10,good,143,good,0,good,10,moderate,
2018-12-15 00:00:00,76,unhealthy-high,1010,good,0,good,65,unhealthy-high,
2019-06-10 00:00:00,2,good,639,good,0,good,1,good,
2019-06-10 00:00:00,0,good,708,good,0,good,0,good,
2018-11-10 00:00:00,3,good,3670,moderate,0,good,2,good,
2018-11-10 00:00:00,2,good,4521,moderate,0,good,2,good,
2018-11-05 00:00:00,537,unhealthy-high,0,good,87,moderate,250,unhealthy-high,
2018-01-30 00:00:00,32,unhealthy-low,211,good,9,good,27,unhealthy,
2019-06-10 00:00:00,4,good,911,good,0,good,4,good,
2018-02-01 00:00:00,20,moderate,0,good,0,good,18,unhealthy-low,
2018-05-07 00:00:00,0,good,2788,good,0,good,0,good,
2018-01-30 00:00:00,30,unhealthy-low,127,good,9,good,23,unhealthy-low,
2018-04-16 00:00:00,16,moderate,310,good,2,good,14,moderate,
2018-06-21 00:00:00,17,moderate,230,good,0,good,16,unhealthy-low,
2018-01-22 00:00:00,21,moderate,140,good,13,good,19,unhealthy-low,
2018-04-12 00:00:00,19,moderate,1642,good,3,good,17,unhealthy-low,
2018-05-07 00:00:00,2,good,6430,unhealthy-low,0,good,2,good,
2019-06-10 00:00:00,2,good,634,good,0,good,2,good,
2019-06-10 00:00:00,1,good,744,good,0,good,1,good,
2019-06-10 00:00:00,0,good,649,good,0,good,0,good,
2019-06-10 00:00:00,1,good,601,good,0,good,1,good,
2019-06-10 00:00:00,1,good,614,good,0,good,1,good,
2018-01-02 00:00:00,13,good,0,good,5,good,12,moderate,
2018-01-25 00:00:00,34,unhealthy-low,246,good,6,good,31,unhealthy,
2018-01-25 00:00:00,43,unhealthy-low,366,good,6,good,36,unhealthy,
2018-05-17 00:00:00,8,good,208,good,5,good,8,good,
2018-01-09 00:00:00,8,good,510,good,0,good,8,good,
2018-02-27 00:00:00,3,good,115,good,0,good,2,good,
2018-01-22 00:00:00,26,moderate,24,good,2,good,24,unhealthy-low,
2018-01-30 00:00:00,25,moderate,203,good,10,good,22,unhealthy-low,
2018-01-30 00:00:00,27,moderate,344,good,7,good,21,unhealthy-low,
2018-01-30 00:00:00,21,moderate,349,good,12,good,18,unhealthy-low,
2018-01-30 00:00:00,20,moderate,272,good,10,good,17,unhealthy-low,
2018-04-26 00:00:00,24,moderate,356,good,16,good,21,unhealthy-low,
2018-04-26 00:00:00,25,moderate,67,good,0,good,22,unhealthy-low,
2018-01-30 00:00:00,18,moderate,18,good,0,good,16,unhealthy-low,
2018-12-16 00:00:00,4,good,621,good,0,good,4,good,
2019-06-10 00:00:00,1,good,724,good,0,good,1,good,
2019-01-26 00:00:00,5,good,401,good,0,good,4,good,
2018-01-25 00:00:00,39,unhealthy-low,378,good,15,good,33,unhealthy,
2018-02-01 00:00:00,24,moderate,82,good,1,good,23,unhealthy-low,
2018-02-14 00:00:00,14,good,282,good,11,good,10,moderate,
2018-03-05 00:00:00,6,good,150,good,3,good,5,good,
2018-05-07 00:00:00,2,good,4824,moderate,0,good,2,good,
2019-06-13 00:00:00,7,good,665,good,0,good,7,good,
2019-06-13 00:00:00,26,moderate,325,good,5,good,23,unhealthy-low,
2018-01-22 00:00:00,36,unhealthy-low,104,good,0,good,33,unhealthy,
2018-12-13 00:00:00,61,unhealthy,6409,unhealthy-low,23,good,36,unhealthy,
2018-01-22 00:00:00,14,good,194,good,18,good,14,moderate,
2018-01-30 00:00:00,19,moderate,145,good,9,good,16,unhealthy-low,
2018-01-30 00:00:00,30,unhealthy-low,394,good,12,good,25,unhealthy,
2018-01-30 00:00:00,38,unhealthy-low,376,good,11,good,36,unhealthy,
2018-01-30 00:00:00,19,moderate,174,good,7,good,16,unhealthy-low,
2018-01-30 00:00:00,22,moderate,179,good,10,good,17,unhealthy-low,
2018-01-30 00:00:00,20,moderate,570,good,0,good,17,unhealthy-low,
2018-01-30 00:00:00,21,moderate,528,good,5,good,19,unhealthy-low,
2018-01-30 00:00:00,24,moderate,70,good,3,good,20,unhealthy-low,
2018-05-07 00:00:00,1,good,6729,unhealthy-low,0,good,1,good,
2019-06-13 00:00:00,6,good,325,good,0,good,6,good,
2019-06-10 00:00:00,2,good,633,good,0,good,2,good,
2019-06-10 00:00:00,1,good,626,good,0,good,1,good,
2019-06-13 00:00:00,3,good,504,good,0,good,2,good,
2019-06-13 00:00:00,3,good,472,good,0,good,3,good,
2019-06-10 00:00:00,5,good,538,good,0,good,3,good,
2019-06-10 00:00:00,1,good,610,good,0,good,1,good,
2019-06-10 00:00:00,1,good,716,good,0,good,1,good,
2019-06-13 00:00:00,5,good,487,good,0,good,5,good,
2019-06-10 00:00:00,0,good,735,good,0,good,0,good,
2019-06-10 00:00:00,0,good,729,good,0,good,0,good,
2018-02-01 00:00:00,15,moderate,77,good,7,good,12,moderate,
2018-01-30 00:00:00,10,good,136,good,6,good,8,good,
2019-06-13 00:00:00,4,good,490,good,0,good,4,good,
2019-06-13 00:00:00,4,good,499,good,0,good,4,good,
2019-06-13 00:00:00,6,good,432,good,0,good,5,good,
2019-02-04 00:00:00,8,good,300,good,1,good,7,good,
2019-06-13 00:00:00,5,good,428,good,0,good,4,good,
2019-06-13 00:00:00,40,unhealthy-low,581,good,0,good,33,unhealthy,
2019-06-10 00:00:00,2,good,607,good,0,good,2,good,
2019-06-10 00:00:00,4,good,380,good,0,good,3,good,
2018-01-09 00:00:00,27,moderate,405,good,8,good,26,unhealthy,
2018-03-01 00:00:00,0,good,203,good,11,good,0,good,
2019-06-13 00:00:00,8,good,452,good,0,good,7,good,
2018-01-09 00:00:00,10,good,56,good,11,good,10,moderate,
2018-05-07 00:00:00,20,moderate,3277,moderate,10,good,17,unhealthy-low,
2019-06-13 00:00:00,9,good,517,good,0,good,9,good,
2019-06-13 00:00:00,9,good,608,good,0,good,8,good,
2018-01-30 00:00:00,146,unhealthy-high,1161,good,11,good,124,unhealthy-high,
2018-05-07 00:00:00,1,good,6470,unhealthy-low,0,good,1,good,
2018-01-30 00:00:00,22,moderate,135,good,9,good,17,unhealthy-low,
2018-01-30 00:00:00,17,moderate,32,good,7,good,16,unhealthy-low,
2018-01-30 00:00:00,21,moderate,225,good,6,good,17,unhealthy-low,
2018-01-30 00:00:00,22,moderate,328,good,12,good,20,unhealthy-low,
2018-01-30 00:00:00,29,moderate,243,good,12,good,27,unhealthy,
2018-01-30 00:00:00,40,unhealthy-low,200,good,0,good,37,unhealthy,
2018-01-30 00:00:00,22,moderate,343,good,14,good,19,unhealthy-low,
2018-01-30 00:00:00,28,moderate,189,good,0,good,24,unhealthy-low,
2018-01-30 00:00:00,21,moderate,0,good,11,good,16,unhealthy-low,
2018-01-30 00:00:00,26,moderate,66,good,5,good,18,unhealthy-low,
2019-06-10 00:00:00,7,good,382,good,5,good,5,good,
2019-06-10 00:00:00,78,unhealthy-high,9552,unhealthy-low,0,good,42,unhealthy-high,
2018-01-30 00:00:00,19,moderate,264,good,10,good,17,unhealthy-low,
2018-01-30 00:00:00,15,moderate,227,good,13,good,14,moderate,
2018-01-30 00:00:00,14,good,180,good,6,good,13,moderate,
2018-01-30 00:00:00,21,moderate,131,good,0,good,19,unhealthy-low,
2018-06-14 00:00:00,14,good,522,good,0,good,14,moderate,
2018-04-02 00:00:00,4,good,269,good,0,good,4,good,
2018-11-14 00:00:00,9,good,142,good,0,good,6,good,
2019-06-13 00:00:00,8,good,325,good,0,good,8,good,
2019-06-13 00:00:00,5,good,330,good,0,good,5,good,
2019-06-10 00:00:00,2,good,609,good,0,good,2,good,
2019-06-10 00:00:00,3,good,634,good,0,good,2,good,
2019-06-10 00:00:00,0,good,729,good,0,good,0,good,
2019-06-10 00:00:00,0,good,735,good,0,good,0,good,
2019-06-10 00:00:00,1,good,625,good,0,good,1,good,
2019-06-10 00:00:00,1,good,589,good,0,good,1,good,
2019-06-10 00:00:00,2,good,635,good,0,good,2,good,
2019-06-13 00:00:00,6,good,335,good,0,good,6,good,
2019-06-10 00:00:00,0,good,605,good,0,good,0,good,
2019-06-10 00:00:00,2,good,594,good,0,good,2,good,
2019-06-13 00:00:00,12,good,345,good,0,good,11,moderate,
2019-06-10 00:00:00,3,good,635,good,0,good,2,good,
2019-06-10 00:00:00,2,good,634,good,0,good,1,good,
2019-06-10 00:00:00,1,good,627,good,0,good,1,good,
2019-06-10 00:00:00,1,good,627,good,0,good,1,good,
2019-06-13 00:00:00,6,good,344,good,0,good,6,good,
2019-06-10 00:00:00,0,good,596,good,0,good,0,good,
2019-06-10 00:00:00,2,good,592,good,0,good,1,good,
2019-06-10 00:00:00,1,good,739,good,0,good,1,good,
2019-06-10 00:00:00,0,good,716,good,0,good,0,good,
2018-12-16 00:00:00,162,unhealthy-high,287,good,0,good,132,unhealthy-high,
2019-06-10 00:00:00,1,good,724,good,0,good,1,good,
2019-06-10 00:00:00,0,good,719,good,0,good,0,good,
2019-06-10 00:00:00,1,good,603,good,0,good,1,good,
2019-06-13 00:00:00,6,good,374,good,0,good,6,good,
2019-06-10 00:00:00,0,good,636,good,0,good,0,good,
2019-06-10 00:00:00,1,good,601,good,0,good,1,good,
2019-06-10 00:00:00,1,good,729,good,0,good,1,good,
2019-06-10 00:00:00,1,good,740,good,0,good,1,good,
2019-06-10 00:00:00,1,good,752,good,0,good,1,good,
2019-06-10 00:00:00,2,good,734,good,0,good,0,good,
2019-06-10 00:00:00,1,good,634,good,0,good,1,good,
2018-12-13 00:00:00,155,unhealthy-high,18773,unhealthy-high,16,good,83,unhealthy-high,
2019-06-13 00:00:00,22,moderate,375,good,0,good,21,unhealthy-low,
2018-12-13 00:00:00,155,unhealthy-high,18773,unhealthy-high,21,good,83,unhealthy-high,
2018-01-30 00:00:00,25,moderate,139,good,7,good,22,unhealthy-low,
2018-01-30 00:00:00,33,unhealthy-low,145,good,13,good,24,unhealthy-low,
2019-06-10 00:00:00,1,good,740,good,0,good,1,good,
2018-12-13 00:00:00,155,unhealthy-high,18773,unhealthy-high,10,good,83,unhealthy-high,
2019-06-13 00:00:00,5,good,394,good,0,good,5,good,
2018-12-13 00:00:00,155,unhealthy-high,18768,unhealthy-high,20,good,83,unhealthy-high,
2019-06-10 00:00:00,1,good,632,good,0,good,1,good,
2019-06-13 00:00:00,5,good,405,good,0,good,5,good,
2019-06-10 00:00:00,0,good,637,good,0,good,0,good,
2019-06-10 00:00:00,1,good,641,good,0,good,1,good,
2019-06-10 00:00:00,1,good,613,good,0,good,1,good,
2019-06-10 00:00:00,1,good,604,good,0,good,1,good,
2019-06-10 00:00:00,1,good,598,good,0,good,1,good,
2019-06-10 00:00:00,1,good,625,good,0,good,1,good,
2019-06-10 00:00:00,1,good,630,good,0,good,1,good,
2019-06-10 00:00:00,1,good,644,good,0,good,1,good,
2019-06-10 00:00:00,1,good,660,good,0,good,1,good,
2019-06-10 00:00:00,1,good,666,good,0,good,1,good,
2019-06-10 00:00:00,2,good,672,good,0,good,2,good,
2019-06-13 00:00:00,10,good,315,good,0,good,8,good,
2019-06-10 00:00:00,1,good,579,good,0,good,1,good,
2019-06-13 00:00:00,7,good,305,good,0,good,7,good,
2019-06-13 00:00:00,30,unhealthy-low,313,good,0,good,29,unhealthy,
2019-06-10 00:00:00,0,good,561,good,0,good,0,good,
2019-06-10 00:00:00,1,good,568,good,0,good,1,good,
2018-12-15 00:00:00,74,unhealthy,792,good,0,good,61,unhealthy-high,
2019-06-13 00:00:00,12,good,312,good,0,good,11,moderate,
2019-01-28 00:00:00,9,good,307,good,2,good,7,good,
2019-06-13 00:00:00,10,good,293,good,0,good,9,good,
2018-12-15 00:00:00,61,unhealthy,730,good,0,good,54,unhealthy-high,
2018-12-16 00:00:00,20,moderate,368,good,0,good,15,unhealthy-low,
2019-06-13 00:00:00,10,good,321,good,0,good,9,good,
2019-06-10 00:00:00,3,good,587,good,0,good,3,good,
2019-06-10 00:00:00,3,good,603,good,0,good,3,good,
2019-06-13 00:00:00,7,good,322,good,0,good,7,good,
2019-06-10 00:00:00,1,good,594,good,0,good,1,good,
2019-06-10 00:00:00,1,good,602,good,0,good,1,good,
2019-06-13 00:00:00,7,good,331,good,0,good,7,good,
2018-12-16 00:00:00,16,moderate,361,good,0,good,12,moderate,
2018-12-16 00:00:00,18,moderate,364,good,0,good,15,unhealthy-low,
2019-06-13 00:00:00,7,good,326,good,0,good,7,good,
2019-06-10 00:00:00,2,good,617,good,0,good,2,good,
2018-12-16 00:00:00,4,good,789,good,0,good,4,good,
2019-06-10 00:00:00,0,good,613,good,0,good,0,good,
2019-06-10 00:00:00,0,good,707,good,0,good,0,good,
2018-01-24 00:00:00,22,moderate,477,good,0,good,22,unhealthy-low,
2018-01-17 00:00:00,24,moderate,712,good,22,good,24,unhealthy-low,
2018-01-25 00:00:00,38,unhealthy-low,360,good,5,good,33,unhealthy,
2018-01-09 00:00:00,9,good,360,good,6,good,9,good,
2018-01-09 00:00:00,19,moderate,369,good,11,good,18,unhealthy-low,
2018-01-09 00:00:00,26,moderate,374,good,12,good,26,unhealthy,
2018-01-25 00:00:00,35,unhealthy-low,370,good,6,good,28,unhealthy,
2018-01-25 00:00:00,35,unhealthy-low,374,good,8,good,31,unhealthy,
2018-01-25 00:00:00,45,unhealthy-low,376,good,4,good,36,unhealthy,
2018-01-25 00:00:00,42,unhealthy-low,383,good,8,good,35,unhealthy,
2018-01-25 00:00:00,40,unhealthy-low,389,good,4,good,36,unhealthy,
2018-01-09 00:00:00,21,moderate,386,good,9,good,19,unhealthy-low,
2018-03-06 00:00:00,7,good,424,good,6,good,7,good,
2018-04-27 00:00:00,38,unhealthy-low,29,good,5,good,30,unhealthy,
2019-06-13 00:00:00,10,good,1070,good,0,good,8,good,
2019-06-13 00:00:00,6,good,417,good,0,good,5,good,
2018-12-13 00:00:00,155,unhealthy-high,18763,unhealthy-high,1,good,83,unhealthy-high,
2019-06-13 00:00:00,13,good,440,good,0,good,11,moderate,
2018-06-21 00:00:00,11,good,284,good,0,good,11,moderate,
2018-05-07 00:00:00,2,good,5106,moderate,0,good,2,good,
2018-05-07 00:00:00,2,good,5656,moderate,0,good,2,good,
2018-05-07 00:00:00,1,good,5836,moderate,0,good,1,good,
2019-06-13 00:00:00,6,good,479,good,0,good,6,good,
2018-05-07 00:00:00,1,good,6442,unhealthy-low,0,good,1,good,
2018-05-07 00:00:00,0,good,6278,unhealthy-low,0,good,0,good,
2018-05-07 00:00:00,0,good,6460,unhealthy-low,0,good,0,good,
2018-03-21 00:00:00,11,good,0,good,9,good,9,good,
2018-01-18 00:00:00,54,unhealthy,1033,good,24,good,48,unhealthy-high,
2019-06-10 00:00:00,2,good,133,good,0,good,2,good,
2018-05-07 00:00:00,2,good,6450,unhealthy-low,0,good,2,good,
2018-05-07 00:00:00,1,good,6469,unhealthy-low,0,good,1,good,
2018-05-07 00:00:00,1,good,6475,unhealthy-low,0,good,1,good,
2018-01-30 00:00:00,24,moderate,156,good,0,good,20,unhealthy-low,
2018-01-30 00:00:00,21,moderate,170,good,0,good,19,unhealthy-low,
2018-01-30 00:00:00,15,moderate,240,good,0,good,13,moderate,
2018-01-30 00:00:00,23,moderate,101,good,0,good,17,unhealthy-low,
2018-01-30 00:00:00,21,moderate,57,good,0,good,20,unhealthy-low,
2018-01-30 00:00:00,18,moderate,194,good,15,good,16,unhealthy-low,
2018-01-30 00:00:00,20,moderate,270,good,17,good,20,unhealthy-low,
2018-01-30 00:00:00,20,moderate,551,good,16,good,17,unhealthy-low,
2018-01-30 00:00:00,16,moderate,553,good,0,good,16,unhealthy-low,
2018-01-30 00:00:00,18,moderate,132,good,0,good,16,unhealthy-low,
2018-01-30 00:00:00,19,moderate,0,good,0,good,19,unhealthy-low,
2019-06-09 00:00:00,3,good,316,good,0,good,3,good,
2018-01-19 00:00:00,9,good,478,good,9,good,7,good,
2018-05-07 00:00:00,1,good,6559,unhealthy-low,0,good,1,good,
2019-06-10 00:00:00,1,good,358,good,0,good,1,good,
2018-04-02 00:00:00,6,good,98,good,0,good,6,good,
2018-04-02 00:00:00,17,moderate,122,good,0,good,16,unhealthy-low,
2018-04-02 00:00:00,11,good,99,good,0,good,10,moderate,
2018-05-07 00:00:00,1,good,6700,unhealthy-low,0,good,1,good,
2019-06-10 00:00:00,1,good,671,good,0,good,1,good,
2018-01-30 00:00:00,13,good,428,good,24,good,13,moderate,
2018-01-30 00:00:00,24,moderate,523,good,0,good,21,unhealthy-low,
2018-01-30 00:00:00,23,moderate,347,good,0,good,20,unhealthy-low,
2018-01-30 00:00:00,23,moderate,307,good,19,good,20,unhealthy-low,
2018-01-30 00:00:00,17,moderate,134,good,0,good,13,moderate,
2018-01-30 00:00:00,13,good,138,good,0,good,11,moderate,
2018-01-30 00:00:00,18,moderate,53,good,0,good,18,unhealthy-low,
2018-01-30 00:00:00,27,moderate,36,good,0,good,21,unhealthy-low,
2018-01-30 00:00:00,29,moderate,63,good,5,good,23,unhealthy-low,
2018-01-30 00:00:00,22,moderate,80,good,7,good,20,unhealthy-low,
2018-04-02 00:00:00,3,good,190,good,0,good,3,good,
2018-01-31 00:00:00,15,moderate,11,good,0,good,13,moderate,
2018-01-30 00:00:00,17,moderate,56,good,0,good,15,unhealthy-low,
2018-01-31 00:00:00,10,good,113,good,0,good,9,good,
2018-01-31 00:00:00,8,good,103,good,0,good,6,good,
2018-01-30 00:00:00,18,moderate,34,good,0,good,18,unhealthy-low,
2019-06-10 00:00:00,2,good,664,good,0,good,2,good,
2019-06-10 00:00:00,2,good,670,good,0,good,2,good,
2019-06-10 00:00:00,1,good,685,good,0,good,1,good,
2019-06-10 00:00:00,2,good,692,good,0,good,2,good,
2018-04-02 00:00:00,5,good,144,good,0,good,5,good,
2018-04-02 00:00:00,6,good,113,good,0,good,6,good,
2018-04-02 00:00:00,4,good,204,good,0,good,3,good,
2018-05-07 00:00:00,1,good,6747,unhealthy-low,0,good,1,good,
2018-05-07 00:00:00,0,good,6728,unhealthy-low,0,good,0,good,
2018-05-07 00:00:00,1,good,6426,unhealthy-low,0,good,1,good,
2018-05-07 00:00:00,1,good,2852,good,0,good,1,good,
2018-04-02 00:00:00,6,good,107,good,0,good,6,good,
2018-04-02 00:00:00,7,good,181,good,0,good,7,good,
2018-04-02 00:00:00,10,good,154,good,0,good,8,good,
2019-06-10 00:00:00,2,good,706,good,0,good,2,good,
2018-04-02 00:00:00,10,good,143,good,0,good,10,moderate,
2019-06-10 00:00:00,2,good,705,good,0,good,2,good,
